district,num,aqi,temperature   ,rainfall,humidity,GDP,GR,Oldpop,income
Alirajpur,3,91,33.48,912.8,22,408.44,1.1125,93933,44662
Anuppur,2,119,31.92,1235,33,844.65,1.1748,122581,50963
Ashoknagar,2,94,32.62,928,23,655.45,2.4879,127401,104829
Barwani,29,94,32.59,738.64,21,1066.35,5.619991878,177035,48066
Betul,3,113,32.71,1016,26,2239.93,5.472498599,270800,39954
Bhopal,341,93,32.3,1126.7,23,6344,9.128878384,368696,80784
Chhindwara,6,113,32.49,1139.3,22,3266.32,7.038413391,359415,31392
Dhar,25,91,32.81,923,20,2480.82,10.75732074,304799,65603
Dindori,2,102,32.23,1376.7,35,457.61,-2.576057567,114443,18715
Gwalior,7,47,32.25,910,28,3804.29,2.93354474,325340,85843
Harda,2,106,33.28,1374.5,20,817.57,0.348581739,93116,"41,846"
Hoshangabad,32,112,32.32,1225.9,20,2244.32,7.840894894,213768,99840
Indore,1062,73,32.98,983,19,9549.83,7.80292597,550432,79907
Jabalpur,58,76,32.37,1277,31,4884.44,5.233630362,437472,97119
Katni,2,87,32.3,1171.4,28,1738.49,0.278022922,207468,81809
East Nimar,45,101,32.2,932,18,2147.54,4.5587,208663,39726
West Nimar,58,99,31.5,835,19,2748.88,5.4789,284170,42998
Mandsaur,16,91,32.23,657.3,17,2099.84,12.24109085,236444,47940
Morena,17,133,32.18,753.7,24,1799.95,1.197537458,287669,55134
Panna,1,102,32.37,1148,27,954.48,-3.762855414,161667,37589
Raisen,20,73,32.33,1207.3,21,1499.75,4.596017715,202631,38782
Ratlam,17,9,32.28,992.9,19,2370.29,8.842734603,238392,91296
Rewa,1,116,32.15,1128,30,2250.62,2.435472052,404347,66510
Sagar,5,96,32.52,838,23,2694.59,4.787515361,374435,77020
Satna,4,76,32.25,1092.1,27,2576.37,0.473044645,363961,66510
Shahdol,2,131,32.08,1143,36,2640.56,3.3539867,168172,82745
Shajapur,9,93,32.47,1020.2,19,1738,5.320567204,268764,92989
Sheopur,4,83,32.24,944,17,607.33,1.198053787,91999,63590
Shivpuri,2,98,32.59,965.2,23,1548.46,-3.016979513,254499,63221
Tikamgarh,3,92,32.25,1041.4,26,1222.19,-2.78089329,225348,62183
Ujjain,102,121,32.88,892,19,3760.48,12.44916511,357769,93509
Vidisha,13,93,32.55,1135.5,21,1741.17,5.510107621,226610,70632
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
